threads,C++,Asm
1,34136,42950
2,24931,29457
3,27858,24890
4,32573,34527
5,40926,40673
6,49888,42197
7,52495,53675
8,54437,50452
9,79811,57899
10,62394,61683
11,63876,69972
12,100682,68568
13,99111,83777
14,84337,87157
15,89148,96874
16,125721,89111
17,93492,96522
18,107289,121007
19,108278,109903
20,140885,111394
21,129865,120215
22,126221,137515
23,145294,142196
24,166319,134963
25,146181,154545
26,157575,144796
27,154320,165112
28,162939,158866
29,179522,168415
30,180643,175294
31,179853,203023
32,197418,188163
33,200759,197404
34,207374,210550
35,212106,213918
36,215686,211240
37,212458,226180
38,223913,232805
39,301175,235402
40,237077,244579
41,252022,251249
42,258762,256977
43,265556,264792
44,285548,274158
45,283714,314760
46,280825,291763
47,299004,298764
48,321529,314373
49,321194,318380
50,316519,321432
51,342479,335076
52,352598,345229
53,364462,340299
54,367992,369213
55,396161,374337
56,372224,390392
57,387224,396642
58,407354,415735
59,427322,412824
60,413542,417390
61,440222,437157
62,435904,428930
63,461071,448253
64,447992,470463
